user_id,churn_probability,risk_segment,session_count,last_login_days,monthly_spend,features_used,payment_failures,plan_type,actual_churn,recommended_action,priority
1873,0.9306654,Critical,1,30,0,1,0,Free,0,Re-engagement campaign,P1 - Immediate
2750,0.8482777,Critical,1,30,299,1,0,Basic,1,Personalized re-engagement campaign,P1 - Immediate
3632,0.8213036,Critical,3,30,0,4,0,Free,0,Re-engagement campaign,P1 - Immediate
2313,0.81262857,Critical,1,22,0,1,1,Free,0,Re-engagement campaign,P1 - Immediate
4158,0.8102866,Critical,1,30,0,2,0,Free,1,Re-engagement campaign,P1 - Immediate
1359,0.79868805,Critical,3,30,0,2,0,Free,1,Re-engagement campaign,P1 - Immediate
127,0.7977444,Critical,1,21,499,1,0,Premium,1,Priority personal re-engagement,P1 - Immediate
4189,0.79717135,Critical,4,22,299,3,0,Basic,1,Personalized re-engagement campaign,P1 - Immediate
1983,0.71971756,Critical,3,25,299,5,0,Basic,1,Personalized re-engagement campaign,P1 - Immediate
1378,0.7151727,Critical,2,22,299,3,0,Basic,1,Personalized re-engagement campaign,P1 - Immediate
3796,0.7024464,Critical,3,16,0,1,2,Free,1,Re-engagement campaign,P1 - Immediate
707,0.70147365,Critical,3,21,499,6,0,Premium,1,Priority personal re-engagement,P1 - Immediate
4715,0.6803636,High,3,16,0,1,1,Free,1,Early engagement campaign,P2 - High
1555,0.6766693,High,1,25,0,4,0,Free,1,Early engagement campaign,P2 - High
2970,0.6712772,High,4,25,299,1,0,Basic,1,Early engagement campaign,P2 - High
720,0.670902,High,4,30,0,4,0,Free,1,Early engagement campaign,P2 - High
2942,0.66957986,High,5,10,299,4,1,Basic,1,Early engagement campaign,P2 - High
4485,0.6683007,High,3,23,0,4,0,Free,0,Early engagement campaign,P2 - High
4656,0.66096574,High,1,27,0,6,0,Free,0,Early engagement campaign,P2 - High
3571,0.66022605,High,3,23,499,4,0,Premium,1,Early engagement campaign,P2 - High
292,0.6601604,High,2,13,499,2,4,Premium,1,Early engagement campaign,P2 - High
3649,0.64894444,High,1,23,499,3,0,Premium,0,Early engagement campaign,P2 - High
570,0.64475095,High,4,29,0,1,0,Free,1,Early engagement campaign,P2 - High
38,0.64240456,High,3,20,299,1,0,Basic,0,Early engagement campaign,P2 - High
3714,0.63642263,High,4,21,299,3,0,Basic,1,Early engagement campaign,P2 - High
2968,0.6362403,High,1,22,299,2,0,Basic,0,Early engagement campaign,P2 - High
740,0.6317194,High,2,10,0,1,1,Free,0,Early engagement campaign,P2 - High
457,0.63028157,High,1,26,0,4,0,Free,0,Early engagement campaign,P2 - High
2976,0.62711495,High,4,23,0,1,0,Free,0,Early engagement campaign,P2 - High
616,0.6267309,High,1,12,0,8,1,Free,1,Early engagement campaign,P2 - High
4625,0.62454003,High,1,29,0,1,0,Free,1,Early engagement campaign,P2 - High
3989,0.6128559,High,2,24,499,8,0,Premium,1,Early engagement campaign,P2 - High
2244,0.60960954,High,4,10,0,1,0,Free,1,Early engagement campaign,P2 - High
611,0.60928196,High,3,25,299,7,0,Basic,1,Early engagement campaign,P2 - High
1291,0.60791373,High,4,23,299,1,0,Basic,0,Early engagement campaign,P2 - High
2086,0.6043318,High,4,26,299,1,0,Basic,0,Early engagement campaign,P2 - High
1458,0.5994766,High,3,22,499,2,1,Premium,1,Early engagement campaign,P2 - High
4665,0.5960864,High,3,12,0,8,0,Free,0,Early engagement campaign,P2 - High
3265,0.59434944,High,4,21,0,3,0,Free,1,Early engagement campaign,P2 - High
1155,0.58291656,High,3,28,299,8,0,Basic,0,Early engagement campaign,P2 - High
2028,0.58172005,High,2,25,0,6,0,Free,0,Early engagement campaign,P2 - High
4464,0.5783711,High,2,23,0,1,0,Free,1,Early engagement campaign,P2 - High
3172,0.5774523,High,4,25,0,8,1,Free,1,Early engagement campaign,P2 - High
4936,0.5747039,High,3,24,0,6,1,Free,0,Early engagement campaign,P2 - High
3886,0.5743283,High,5,25,0,1,0,Free,1,Early engagement campaign,P2 - High
2185,0.57387674,High,5,24,299,1,0,Basic,1,Early engagement campaign,P2 - High
