user_id,risk_segment,churn_probability,recommended_action,priority,monthly_spend,plan_type,session_count,last_login_days,actual_churn,intervention_status,intervention_date,response_status,retained_after_intervention
1873,Critical,0.9306654,Re-engagement campaign,P1 - Immediate,0,Free,1,30,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2750,Critical,0.8482777,Personalized re-engagement campaign,P1 - Immediate,299,Basic,1,30,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3632,Critical,0.8213036,Re-engagement campaign,P1 - Immediate,0,Free,3,30,0,Simulated - Pending,2026-09-07,Not Yet Measured,
2313,Critical,0.81262857,Re-engagement campaign,P1 - Immediate,0,Free,1,22,0,Simulated - Pending,2026-09-07,Not Yet Measured,
4158,Critical,0.8102866,Re-engagement campaign,P1 - Immediate,0,Free,1,30,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1359,Critical,0.79868805,Re-engagement campaign,P1 - Immediate,0,Free,3,30,1,Simulated - Pending,2026-09-07,Not Yet Measured,
127,Critical,0.7977444,Priority personal re-engagement,P1 - Immediate,499,Premium,1,21,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4189,Critical,0.79717135,Personalized re-engagement campaign,P1 - Immediate,299,Basic,4,22,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1983,Critical,0.71971756,Personalized re-engagement campaign,P1 - Immediate,299,Basic,3,25,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1378,Critical,0.7151727,Personalized re-engagement campaign,P1 - Immediate,299,Basic,2,22,1,Simulated - Pending,2026-09-07,Not Yet Measured,
3796,Critical,0.7024464,Re-engagement campaign,P1 - Immediate,0,Free,3,16,1,Simulated - Pending,2026-09-07,Not Yet Measured,
707,Critical,0.70147365,Priority personal re-engagement,P1 - Immediate,499,Premium,3,21,1,Simulated - Pending,2026-09-07,Not Yet Measured,
4715,High,0.6803636,Early engagement campaign,P2 - High,0,Free,3,16,1,Simulated - Pending,2026-09-07,Not Yet Measured,
1555,High,0.6766693,Early engagement campaign,P2 - High,0,Free,1,25,1,Simulated - Pending,2026-09-07,Not Yet Measured,
2970,High,0.6712772,Early engagement campaign,P2 - High,299,Basic,4,25,1,Simulated - Pending,2026-09-07,Not Yet Measured,
720,High,0.670902,Early engagement campaign,P2 - High,0,Free,4,30,1,Simulated - Pending,2026-09-07,Not Yet Measured,
